	sentence	killer_gold	medion_time
0	officer thank god you 're here	N	00:00:32.402
1	you know why i stopped you	N	00:00:34.645
2	yeah i	N	00:00:36.562
3	i	N	00:00:39.086
4	i was speeding uh of course but you have to understand you see someone is chasing me	Y	00:00:41.884
5	you see i have videos	N	00:00:43.365
6	i bet you do	N	00:00:43.419
7	let 's start with license and registration	N	00:00:44.727
8	officer if i could if i could just show you	N	00:00:50.206
9	found a camcorder	N	00:01:09.605
10	no tape inside	N	00:01:11.522
11	not much traffic	N	00:01:20.254
12	makes it a lot easier to run someone off the road	N	00:01:23.229
13	and slash their throat	N	00:01:26.804
14	she was slashed south of the border as well	N	00:01:29.924
15	women in convertibles are low-hanging fruit	N	00:01:33.385
16	and it was a top-down night	N	00:01:36.904
17	that 's a nice ring	N	00:02:22.224
18	it 's at least four carats	N	00:02:25.705
19	we 've been shopping	N	00:02:29.146
20	lots of surgical procedures here artificial breasts cheek implants collagen lips you 'd be surprised how many women i get on this table with fake parts	N	00:02:35.866
21	plastic lasts longer	N	00:02:43.743
22	wow	N	00:03:01.959
23	mascara tweezers under-eye cream neck-firming lotion	N	00:03:07.725
24	girls	N	00:03:13.404
25	pads one two three four jars of depilatory cream	N	00:03:16.965
26	that 's a lot of bikini wax	N	00:03:20.754
27	some girls hate the nether-stubble	N	00:03:22.409
28	nether-stubble	N	00:03:24.561
29	swipe card	N	00:03:32.065
30	entertainment department tangiers	N	00:03:33.942
31	well walterclancy did n't mind stubble	N	00:03:40.782
32	who 's walter	N	00:03:44.564
33	the registered owner of this vehicle	N	00:03:46.523
34	so she either borrowed this car or she stole it	N	00:03:48.546
35	genital wounds were more profound than i expected	N	00:03:53.623
36	profound how	N	00:03:56.003
37	well i was looking for ovaries and i found a prostate	N	00:03:58.423
38	she was a he	N	00:04:01.256
39	she had genital reassignment surgery	N	00:04:03.514
40	and what does that mean exactly	N	00:04:05.296
41	exactly	N	00:04:06.274
42	her testicles were removed and her pen1s was inverted creating a virgin	N	00:04:09.845
43	and evidently the killer kept subtracting	Y	00:04:13.786
44	subtracting what	N	00:04:15.504
45	well they do n't call it an adam 's apple for nothing	N	00:04:17.664
46	a man with issues might become upset if he found one on his woman	N	00:04:21.066
47	cause	N	00:04:24.205
48	severed carotid and jugular complex	N	00:04:25.963
49	uh incised wounds are almost surgical in nature	N	00:04:27.695
50	used an extremely sharp weapon	N	00:04:29.071
51	vicious attack	N	00:04:31.207
52	probably from someone emotionally involved	N	00:04:33.767
53	time	N	00:04:35.875
54	best estimate between 8:00 and midnight	N	00:04:37.211
55	i collected a standard sae kit	N	00:04:38.735
56	good	N	00:04:40.111
57	because top or bottom this looks like a sexual assault that turned into a hate crime	N	00:04:43.322
58	clocked the thunderbird doing ninety	N	00:04:48.435
59	i nail it	N	00:04:50.893
60	the skirt driving tells me she 's being chased	N	00:04:53.904
61	and then she asks if she can show me some videos	N	00:04:55.138
62	how were they	N	00:04:56.484
63	i did n't bite	N	00:04:57.599
64	she was working it	N	00:04:58.875
65	rough duty	N	00:04:59.973
66	look she gave me this lame story about the car being her brother 's and that she had lost her license but she has his license and yakety-yak	N	00:05:03.721
67	i just let her off with a warning	N	00:05:08.343
68	so you had speeding driving without a license possible stolen vehicle and you let her off with a warning	N	00:05:12.526
69	what are you implying	N	00:05:16.845
70	she got off pretty easy	N	00:05:18.603
71	how about you	N	00:05:20.824
72	i resent that	N	00:05:22.125
73	well i 'm sure that she resented being sexually harassed and slaughtered two miles from the place you pulled her over	N	00:05:24.203
74	i did n't know about that until you called me in here	N	00:05:27.362
75	you know you have a sexual harassment flag in your file	N	00:05:29.235
76	oh so that makes me a sex murderer	N	00:05:30.731
77	i know a place about two miles up	N	00:05:32.554
78	it 's a little more private	N	00:05:34.368
79	i mean you know if if i found out that the gal who was stripping my gears was a guy i mean i 'd be mad too	N	00:05:38.103
80	what are you	N	00:05:46.254
81	or maybe you prefer a stick	N	00:05:48.481
82	i told you nothing happened	N	00:05:52.682
83	you 're on administrative duty until we confirm that	N	00:05:54.882
84	you mind submitting your dna	N	00:05:57.045
85	just tell me where to spit	N	00:05:58.962
86	ran her prints through afis and i got two hits	N	00:06:02.143
87	a wendygarner was a dancer at the tangiers and walterclancy a blackjack dealer at the riviera in the mid-'90s	N	00:06:08.206
88	okay let 's give this a shot	N	00:06:13.856
89	the coroner noted that she had collagened lips	N	00:06:15.876
90	okay so 86 those cheek implants	N	00:06:20.567
91	now estrogen would 've rounded out the face so square that jaw	N	00:06:27.705
92	got that	N	00:06:29.741
93	i 'm gon na give her a haircut	N	00:06:35.366
94	add some whiskers	N	00:06:40.201
95	wow	N	00:06:42.676
96	take away the uh eye makeup fix the eyebrows	N	00:06:44.894
97	well one thing 's for certain walter did n't kill wendy	N	00:06:48.946
98	no it 's more like wendy killed walter	N	00:06:52.281
99	okay wendy 's mouth had two foreign dna donors one seminal one saliva	N	00:06:58.122
100	neither was a match for officer mann	N	00:07:01.395
101	huh	N	00:07:02.811
102	wow	N	00:07:05.421
103	that is some rock	N	00:07:06.729
104	platinum setting	N	00:07:08.037
105	princess cut	N	00:07:09.345
106	somebody really loved her oh him	N	00:07:11.264
107	i think she 's a her	N	00:07:13.460
108	right	N	00:07:15.725
109	well a diamond that big you hope she had it lojacked	N	00:07:17.721
110	that is what i 'm counting on	N	00:07:21.202
111	there 's a serial number micro-etched into the band around the diamond i 'm hoping it gets me a groom	N	00:07:25.470
112	you know i once heard this story about this man who became a woman because he was obsessed with a lesbian who was really a man	N	00:07:32.284
113	overshare	N	00:07:39.602
114	wendy just bought her wedding gown	N	00:07:47.516
115	she uh she would 've been a beautiful bride	N	00:07:49.814
116	we just wrote our wedding vows last week	N	00:07:52.685
117	i just figured that she was at a friend 's house a girlfriend 's house for the night	N	00:07:56.802
118	mr laner how long had wendy been a dancer	N	00:08:01.386
119	about two or three years in the line	N	00:08:04.585
120	i mean never topless	N	00:08:06.705
121	but uh in her costume she was a vision	N	00:08:08.582
122	how long had you known each other	N	00:08:10.406
123	about a year	N	00:08:11.845
124	we met in a grief support group	N	00:08:13.386
125	i 'd lost my wife	N	00:08:14.706
126	sorry for your loss	N	00:08:16.366
127	thank you	N	00:08:18.044
128	who was wendy grieving for	N	00:08:20.144
129	uh she 'd lost her twin brother	N	00:08:22.522
130	would that be walter	N	00:08:26.698
131	yeah walter	N	00:08:28.241
132	did you know him	N	00:08:29.784
133	sort of	N	00:08:32.007
134	mr laner i need to ask you a personal question if you do n't mind it may help us	N	00:10:03.904
135	did you and your fiancée sleep in separate beds	N	00:10:08.364
136	uh we were an old-fashioned couple	N	00:10:11.464
137	neither of us believed in premarital sexual relations	N	00:10:14.405
138	i mean that 's why i fell in love with her because of her traditional values	N	00:10:18.363
139	this is confusing	N	00:10:22.714
140	she had her period	N	00:10:24.290
141	impossible	N	00:10:25.744
142	no uterus no period	N	00:10:26.740
143	so a guy desperate to change his sex hooks up with a guy desperate not to have any	N	00:10:28.644
144	a match made in heaven	N	00:10:31.118
145	i think we need to tell mr laner the truth	N	00:10:33.704
146	are we sure he does n't know	N	00:10:36.002
147	all right this way	N	00:10:54.742
148	aborigines say they dance naked to make the gods happy	N	00:10:58.165
149	the gods would be happy in vegas	N	00:11:00.945
150	did you ever see any transsexuals when you danced	N	00:11:03.725
151	gil only civilians confuse strippers and showgirls	N	00:11:06.704
152	you ca n't cheat the full monty	N	00:11:09.138
153	that 's wendy 's station over there	N	00:11:14.365
154	thank you	N	00:11:17.884
155	hello ladies	N	00:11:20.431
156	hi honey	N	00:11:21.520
157	i 'm catherinewillows	N	00:11:22.609
158	this is gilgrissom	N	00:11:23.699
159	we 're with the crime lab	N	00:11:25.485
160	do any of you know if wendygarner worked last night	N	00:11:27.641
161	no she had the day off	N	00:11:29.922
162	but she should be working tonight	N	00:11:31.858
163	and she is late	N	00:11:33.322
164	that 's not like her	N	00:11:34.786
165	why did something happen to wendy	N	00:11:36.762
166	unfortunately she was found dead last night	N	00:11:39.725
167	it was all those hormones she was taking was n't it	N	00:11:43.272
168	shut up	N	00:11:44.682
169	what do you know	N	00:11:46.093
170	do you know that wendy was a uh	N	00:11:47.852
171	trannie	N	00:11:49.623
172	all the best showgirls are	N	00:11:51.394
173	yeah and it do n't matter if they 're packin a lop job or a gaff	N	00:11:54.142
174	okay lop job i get	N	00:11:56.715
175	what 's a gaff	N	00:11:58.131
176	it 's like a jockstrap only it hides what it 's supposed to strap	N	00:12:00.781
177	we all get work done	N	00:12:04.035
178	who cares if it 's up north or down south	N	00:12:06.651
179	pretty 's pretty	N	00:12:09.663
180	so do you know where she got her work done	N	00:12:12.314
181	you want the best you go to dr mercer	N	00:12:14.208
182	okay so on tonight 's agenda we 're going to be talking about hair removal gait and we 'll do our pride walk hormones and voice pitch	N	00:12:21.683
183	ladies come on	N	00:12:26.478
184	over here	N	00:12:27.661
185	now regarding hair removal	N	00:12:28.844
